C1,C2,C3,ISO,Target
1097,0,33,US,false
3253,0,861,IL,false
22743,0,67,RU,false
3656,0,519,GB,false
1698,0,275,US,false
1398,0,561,US,false
1774,0,188,US,false
5430,0,527,AU,false
856,0,333,AU,false
1721,0,588,BR,false
3994,267,172,HR,false
3084,0,990,AU,false
3049,0,270,AU,false
1480,0,228,AU,false
1294,0,910,AU,false
598,0,231,AU,true
2079,0,214,NZ,false
1509,0,988,AU,false
1685,0,846,AU,false
1536,0,182,AU,false
3072,0,850,AU,false
2523,0,524,AU,false
4050,0,311,AU,false
3090,0,194,AU,false
3713,0,888,AU,false
2030,0,141,AU,false
5856,1163,684,TH,false
3084,0,724,AU,true
5588,0,608,AU,false
1209,0,38,AU,false
2093,0,261,AU,false
2818,0,620,AU,false
2093,0,442,AU,false
2318,0,818,AU,false
1421,0,573,AU,false
2101,0,527,AU,false
4029,0,864,AU,false
1359,0,669,AU,true
2041,0,943,AU,false
4025,0,908,AU,false
2014,0,768,AU,true
1995,0,430,AU,false
1558,0,260,AU,false
1542,0,67,AU,false
4225,0,944,AU,false
6169,0,334,AU,false
2107,0,847,AU,false
1199,0,89,AU,false
2097,63,73,SG,false
2632,0,593,AU,false
1031,0,609,AU,false
3013,0,243,AU,false
1692,0,138,AU,false
1932,0,441,AU,false
2091,0,147,AU,false
2099,0,835,AU,false
686,0,538,AU,false
1846,0,720,AU,false
7872,0,848,AU,false
1019,0,623,AU,false
3315,0,221,AU,false
7500,0,600,AU,false
1375,0,415,AU,false
1391,0,480,AU,false
3075,261,391,NO,false
3925,280,116,GB,false
1062,0,684,AU,false
2149,0,965,NZ,false
2399,0,183,NZ,false
2499,0,800,NZ,false
3440,0,546,AU,false
917,0,191,AU,false
16946,399,719,US,false
2347,0,940,AU,false
2631,0,402,AU,false
12915,0,181,AU,false
14089,0,821,AU,false
5462,0,971,AU,false
1914,0,64,AU,false
2599,0,474,NZ,false
5999,0,436,NZ,false
1799,0,21,NZ,false
1599,0,479,NZ,false
2149,0,919,NZ,false
3030,0,160,NZ,false
2890,0,771,NZ,true
1435,0,211,NZ,false
3464,0,69,GB,false
1687,0,427,GB,false
4763,810,485,FR,true
2506,239,375,MT,true
26435,0,759,RU,false
4138,742,57,CH,false
1879,0,262,US,false
2161,0,473,US,false
1853,225,630,SE,false
1149,0,719,AU,false
3317,0,1,AU,false
1054,0,558,AU,false
1800,0,595,GR,false
2465,0,289,AU,false
1883,0,141,AU,true
1733,0,86,AU,false
1054,0,367,AU,false
1783,0,198,AU,false
4877,0,468,AU,false
2594,0,121,AU,false
680,0,90,AU,false
1038,0,622,AU,true
1978,0,18,AU,false
4061,0,739,AU,false
1187,81,881,IL,false
2467,0,86,NZ,false
2186,0,718,NZ,false
4765,0,875,AU,false
2467,0,171,AU,false
967,0,370,AU,false
2922,0,507,AU,true
1097,0,308,AU,false
1200,0,293,AU,false
1953,0,804,AU,false
23812,1429,643,TR,true
1200,0,983,AU,true
884,0,891,AU,false
1290,0,88,AU,false
1009,0,654,AU,true
3322,0,646,AU,false
3702,0,381,AU,false
1919,0,430,NZ,false
2399,0,756,AU,true
1750,0,499,AU,false
17960,0,684,RU,false
1103,0,506,AU,true
2727,0,471,RU,false
943,0,405,AU,true
943,0,454,AU,false
2919,0,982,AU,false
1264,0,580,AU,false
2461,0,178,AU,false
3702,0,172,AU,false
4105,764,661,IL,false
803,0,25,AU,true
2667,0,519,AU,false
9370,0,651,AU,false
